score,title,time,review
8,"Don't keep it to yourself - ""The Secret Life of Pets"" is great family fun!",9 July 2016,"When you see as many movies as I do (and you start writing reviews in your head while you're watching them), certain movies, parts of movies, plot points or characters remind you of other movies. In my reviews, I often note those parallels, using them to comment on the movie I'm reviewing. Sometimes I note similarities between movies to say that the more recent film is unoriginal. Other times, it's just to help explain what the new movie is like. The animated adventure comedy ""The Secret Life of Pets"" (PG, 1:30) reminds me very much of two other animated features but that's not necessarily a bad thing.Tell me if this sounds familiar: Someone's possessions (as he or she views them) actually have secret lives of their own which are only really apparent when the owner is not around. These anthropomorphic possessions relate to each other and form friendships. When a newer version of the original is brought into the group, jealousy emerges and the original tries to get rid of the interloper. This struggle results in both of the rivals being thrust out of the comforts of home into the little-understood big, bad world, a situation which requires their compadres to venture out of their own comfort zones to mount a rescue.That set-up fits Illumination Entertainment's 2016 ""The Secret Life of Pets"" as well as it does the 1995 Pixar/Disney classic film ""Toy Story"". (Think, ""Pet Story"", or ""The Secret Life of Toys"".) But considering that the 2016 film is about animals rather than toys, maybe the better comparison is to another 2016 animated feature (also from Disney) by the name of ""Zootopia"". In both of those 2016 films, a couple of anthropomorphic animals (among many others living in a big city) form a partnership which develops into a mutually beneficial friendship. I guess it's not unfair to think of ""The Secret Life of Pets"" as a mash-up of ""Toy Story"" and ""Zootopia"". Nevertheless, this one charts its own unique course and is as entertaining as those other two or the ""Despicable Me"" films, also from Illumination Entertainment.Now that you know what ""The Secret Life of Pets"" is LIKE, here's what it's ABOUT: The movie focuses on a small brown and white terrier named Max (voiced by Louis C.K.) and his relationship with the other pets in his apartment building. Max lives in a small Manhattan apartment with his owner, a young woman named Katie (Ellie Kemper). When Katie goes to work each day, Max sits at the door wondering where she has gone and waiting for her to come back and play with him. Meanwhile, the pets in the building across the alley and above and below his apartment (and one guniea pig lost in the air ducts) are more active in their daily lives (and more mobile) than is readily apparent. (Thus, the title of the film.) Some of the neighborhood pets include an overweight white cat named Chloe (Lake Bell), a bulldog named Mel (Bobby Moynihan), a dachshund named Buddy (Hannibal Buress), a canary named Sweet Pea (Tara Strong), and Gidget (Jenny Slate), a white Pomeranian who has a secret crush on Max.Except for missing Katie during the day, all is well in Max's little world until one not-so-fine day when Katie brings home another dog she rescued from a shelter. Duke (Eric Stonestreet) is a large, shaggy, dark brown dog who has no problem throwing his weight around to get the best place to sleep, or as much food as he wants, or anything else. Max starts scheming about how to get rid of Duke, but one such attempt while they're in the park with Katie's dog walker back-fires and sets both Max and Duke off on a wild and dangerous journey around the city. When Gidget realizes that Max has disappeared, she enlists their mutual pet friends, plus a caged hawk named Tiberius (Albert Brooks), and a few other neighborhood pets (including the Dana Carvey voiced ""Pops""), to help her find Max. Meanwhile, Max and Duke have to try escaping from animal control workers, a disfigured alley cat named Ozone (Steve Coogan) and a small, but crazed and bitter bunny named Snowball (Kevin Hart), who was discarded by the magician he worked for and now leads a sewer-dwelling group of radicals called The Flushed Pets, who are bent on wiping out all the humans – and who decide that Max and Duke are also their enemies.""The Secret Life of Pets"" is every bit as entertaining as you'd hope, based on its theatrical trailers, or its movie posters, or just its title. Co-writers Cinco Paul, Ken Daurio and Brian Lynch exploit many of the well-known quirks of different kinds of pets, but give each character in the film its own personality. Then, once the script clearly establishes who each of these characters are, it gives them plenty to do, but without making the story unnecessarily complicated. Co-directors Chris Renaud (who also voices the aforementioned lost guinea pig) and Yarrow Cheney bring this promising concept and excellent script to realization by keeping the plot moving and not overdoing any of the film's big ideas or overplaying any of the gags. Finally, with the film's impressive voice cast and the filmmakers' ""Despicable"" history, the performances and the visuals are excellent across the board. On the critical side, I found a subplot involving Duke's backstory and a ""Grease""-inspired sausage-fueled dream sequence to be odd and unnecessary diversions, and I would've liked to see just a little more originality and inspiration sprinkled throughout the movie. However, there's no denying that ""The Secret Life of Pets"" is very well-done good, clean fun for the whole family. ""A-"""
8,Fun Movie starring Pets,15 July 2016,"Kevin Hart steals this one - he's hilarious as bunny, Snowball - leader of the pack! As is the falcon, Pops (Dana Carvey), and of course Louis CK as Max. Enjoyable romp for kids and grandmas (ME!) Wiener Kingdom sequence is a hoot, funny; love the animal expressions. Some have criticized the manic pace, but I didn't find it particularly ""manic"" - animated movies have to be in constant motion to keep attention. My 2 and 4 year old grandsons enjoyed it, 4 year old was laughing out loud at all the silliness; as was their Mommy and Grandma. Guess I'll be spending lots of time going to kids' movies this summer, as the rest of the summer movies are more of the same old retreads. Talking pets who get into a bunch of trouble and are rescued by an odd assortment of other animals! Cute and fun."
10,An instant classic,11 July 2016,"Just saw this hilarious, heartwarming and inspiring movie with my grandchildren. The jam- packed theater was literally rocking with the joyous giggles and laughter of the children. However, at times, the kids' delighted outbursts were overwhelmed by the raucous guffaws of adults appreciating the keen, sophisticated sense of humor of the director. As a native New Yorker, I was especially impressed that an animated film could truly capture the essence and heart of our wonderful city. I wasastinished to see so many people leaving the theater getting right back on line to purchase tickets for future performances; as dozens of people had been turned away from this showing and those for the remainder of the weekend . This is a wholesome, must-see movie for pet lovers and children of all ages! Don't miss it!"
9,Pet Lover's Delight,13 July 2016,"It's a ""Despicable Me"" reunion (don't let that turn you away), as director Chris Renaud, writers Cinco Paul and Ken Daurio, along with director Yarrow Cheney (How the Grinch Stole Christmas, 2018) gather to get inside the hearts and minds of our little furry/scaly/feathered friends. With fun music by Alexandre Desalt (The Danish Girl 2015), a list of Who's Who cool VO actors (Louis C.K., Eric Stonestreet, Kevin Hart, Dana Carey, Jenny Slate, Ellie Kemper, Albert Brooks, Lake Bell - the list goes on), and realistic animation courtesy of Illumination Entertainment, new, old and foreseeable pet owners (young and mature) will find great delight in this easy and entertaining to watch animation production. To the credit of the writers, all the obvious ""pet jokes/mannerisms"" and current society references aren't forced on the viewer at one time. Thus, the film keeps giving throughout. Sure, about 3/4 the way in the idea grows a bit old, but the cuteness factor quickly returns for a rewarding finish. FYI: Don't let the less than funny ""DM"" Short that pre-empetes the film cloud your judgment. While Children (and there are plenty in attendance) really enjoy all things ""DM,"" there were few adults enjoying that experience. Illumination Entertainment is pre- viewing ""Sing,"" due out in 2016, which also looks promising. Ruff, Ruff!"
9,The secret life of pets,28 July 2016,"Whenever I got invited on a date to go watch this movie, I was kind of skeptical at first because it was a cartoon film and I haven't even watched the trailer. But whatever, free movie and yummy popcorn right? To say the least, this movie took me off guard and laughed so much at the roles the characters had. It was such an adorable movie. Even though it was a kids movie, it had clues here and there about things adults would do and even say. Which made it even funnier! I couldn't give a bad review on this because I genuinely had a great time watching it. I definitely recommend it to anyone, including kids and adults as well Even if it's a cartoon film, it's definitely the kind to wait and hope for a second version."
10,A great animated film for all pet lovers,27 July 2016,"I got curious about this movie after seeing the trailers. Then my mom and I saw it in the theatre; I thought it is another great animated movie of the year. Also Max & Gidget are my favorite characters.The story is about Max living a good life in his New York apartment with his beloved owner Katie. That is until Katie brings home a big, shaggy stray name Duke, who Max thought is trying to muscle in on his happy home. One day during a walk with the dog-walker, the resentive Duke tricks Max into travelling far into the city, and they are attacked by a feral cat gang in an alley. The cats remove Max and Duke's collars and the dogs are caught by the city's Animal Control. Fortunately the two dogs were saved by a rogue band called ""The Flushed Pets"". That is all I could tell you folks.I don't have a favorite scene (as I said many times), because I love the whole film from beginning to end. I also love the movie's humor and great animation. One more thing to point out is that Max was so cute as a puppy! So overall, this is a great film for all pet lovers."
10,Got Pets? - Ya HAVE to see it! - Got Kids? - Ya HAVE to see it !,27 July 2016,"Fast-paced and Funny! Lots of Laughs and action ..... The good guys always win! ..... This out does Disney by far Not too scary for kids, scenes move and change fast, so their little minds don't really grasp the couple of sad parts .....Attention is fixed on their Brooklyn adventure underground .. Great voice-overs, each character comes through as an individual, so you can pick your favorite ""PAL""... Our theater was full of laughter almost all the way through ... except when the kids were cheering for the pets as they managed to outsmart Animal Control .. It's always fun when a rag-tag group of mis-fits out smarts the bad guys..Most of the pets are available through local toy stores with the exception of ""Tatoo"" the pig ... why he is not included seems to be an oversight on the part of the studio.. Not that he had a major role but nonetheless he was still an intregal part to the plot No matter which your favorite pet is in the movie, it was well written and deserves to be seen by all"
6,Never pets were so funny and addictive,17 July 2016,"Hallelujah! It took so many time to see a movie that take my illusion in animated comedies back. Funny,fresh and sassy. Though I'm not a fan of comediesA topic so easy to make a movie, but that never was made. And that's exactly what makes this movie so amazing. The simpleness that with hilarious touches that you don's see coming. The variety of animals and situations that puts them in topics and scenes easy to success is one of the best points of this movie.One of the best comedies of the year for just been just like it is and don't create atypical situation that animated movies got us used to.And once again show us that less is more and maybe not perfect but high enough to have an amazing time.This movie makes something that almost no one does, make me laugh almost the whole movie"
10,Fantastic movie for all ages! Everyone should watch this film!,2 September 2016,"-Looking for a great movie, that's hilarious? This movie is heart warming,its a very fun watch that you can enjoy alone or with someone (turn off the light-close the blinds get your loved ones,treats and cuddle up for a great time!)- I thought this was a great film! It was so very well done from the story line and brilliantly written and quite humorous script! To the gorgeous animation that is stunningly executed. Consistently complimenting the very creatively and carefully crafted characters that you will instantly fall in love with and keep you smiling and laughing through out the film! The cast and voicing worked well with the beautiful illustration to really brought the characters and movie to life! Ultimately bringing the whole movie home.It doesn't matter if your 5 or 50 just be happy and enjoy the simple things in life ( the things that actually matter ;) -Take Care World & God Bless!"
7,The studios best film since Despicable Me,18 June 2016,"With the animation genre in such a golden age, more and more studios are starting to drop their name into the mix.The latest one is Illumination Entertainment. After starting really well with Despicable Me, it has seemed to have made OK flicks such as Hop, The Lorax, Despicable Me 2 and Minions.Now we have what many people are hyping as their best feature since Despicable Me, in the form The Secret Life Of Pets. The marketing has been pretty good and trailer suggests a good time at the cinema.For me, I was pretty satisfied with what I saw. The first third of the film was its strongest part. It was introducing the characters well, there were some solid laughs and they were setting up the story nicely. However the longer the film went on, the slightly sillier it was getting. It was starting to lose its feet, and the gags were getting a bit too much. Thankfully, it was not that bad at all on the whole. It was still moving a long nicely, the characters were being solidly developed and the story rounded off pretty well. I think it might have peaked too soon and everything else felt inferior.The voice performances were good. Jenny Slate continues to do well in her voice work and I felt she gave the strongest performance. Kevin Hart played his character really well, and had some nice laughs. Louis C.K. was well cast as the lead and gave us a character you could root for. The rest did their job well. They were not good enough to be memorable, but not bad enough to be negatively criticised.On the technical side, the animation looked really nice and fitted the tone well. The action was entertaining if not a bit over the top at times. The character designs were strong, and I can see them being sold well as merchandise.Overall, some of it felt disappointing. But on the whole I had a fairly good time watching this. It is definitely the studio's best film since Despicable Me. But with so many other animation studios delivering much stronger films at the moment, this could be forgotten sooner than you think. This might not do as well in the box office as originally expected. Especially a new Pixar film on the way.There is also a short before the main film, and it features the studios most famous characters. It was o.k. But nowhere near as strong as Pixar's shorts."
9,Illumination's Answer to Toy Story,8 July 2016,"When well-developed setups lead to brilliantly executed gags, throw in some adorable house pets and endearing street animals and you get Universal Pictures and Illumination Entertainment's answer to what toys do when the owners aren't around, The Secret Life of Pets. More precisely, this movie could be described as Toy Story meets Oliver and Company meets Homeward Bound. Backed by an exquisitely talented cast of voice actors and excellent writing, The Secret Life of Pets could be what ushers Illumination Entertainment (an NBCU company) into the ring with Disney- Pixar. Prior to this movie, Illumination/Universal certainly created some fantastic animated films including The Lorax, Despicable Me, and others; but this film is the first to really be on par with the Disney-Pixar quality that many of us have come to love and expect. Fast-paced and comedically timed very well, this movie is sure to entertain and warm the hearts of anyone who sits down to watch it. Is it quite as endearing as Toy Story? Not exactly; but it is very close and serves as evidence that we should come to expect this quality and higher of animation from Universal/Illumination. Although the movie is marketed to kids and teenagers, there is certainly enough comedic subtext, easter eggs, and nods to films that adults will greatly appreciate as well. One of my personal favorites is in the Millions short film before the feature. One of the minions is wearing a hat that states ""let it grow"" while he's cutting the grass.When Max (Louis C.K.), a spoiled terrier living in a New York City apartment building with a beautiful view meets his new roommate, his perfect world is rocked. New roommate Duke (Eric Stonestreet), a giant rambunctious dog, mixes as well with Max as oil does with water. They are complete opposites in nearly every way. Max soon gets the idea to set Duke up for failure by sabotaging the house. Unfortunately that idea backfires and just serves to stoke the fire of animosity. After a prank in the park takes a turn for the worst, both Max and Duke are lost in the seedy underbelly of New York City. The Secret Life of Pets' success is in-part due to the successful setup and payoff of gags. This can be a dangerous platform on which to build an animated comedy because there is a high risk of the narrative primarily resting upon the gags instead of the gags enhancing the diegesis. Fortunately for audiences, this film successfully pairs a well-developed and paced narrative that will keep your attention and deliver laughs for the entire runtime. Sometimes comedies, whether animated or live action, can spend too much time in the development of gags rather than on the visual storytelling. For instance, some movies write the gags first and then try to integrate a story that attempts to tie all of them together. What I appreciate about The Secret Life of Pets is the strong story inclusive of sight gags and double entendre humor to satisfy a diverse audience from different backgrounds and ages. In addition to the writing, the vocal talents are also instrumental in the success of this animated feature. Leading the ""pack"" are of course comedians Louis C.K. and Kevin Hart, but the entire cast is perfectly pairs with his or her animated persona. For the cat lovers out there (and yes, I am one of them), there are deftly come good comedic jabs at dogs. But the dogs also get in some good ones on the cats. Haha.The setting of the movie is New York City, or an idealistic surreal New York City slightly augmented to fit the pacing, genre, and feeling of the film. I'd like to know what job Katie has to be able to live by herself in an apartment with such a beautiful view. But I suppose it's just as well that we don't since the focus is on the dogs. On the view from the apartment, though. Much like the view from Frasier's upscale urban trend-setting apartment in Seattle faced a view of the Seattle skyline that doesn't actually exist, unless you are looking at downtown from the surrounding mountains and hills, I am not entirely sure the view from Katie's Manhattan apartment exists either. The view of the city seen from Frasier's apartment was selected in order for the Space Needle to have a prominent placement in the skyline. In the same vein, I believe that the unrealistic view from Katie's apartment was selected in order for the Freedom Tower to have a strong presence. I know, I am analyzing an element that doesn't really have an affect upon the film; but since the film is actually very well done, I thought it would be fun to look at the setting of the movie.Although I can almost guarantee you that his film won't see an Oscar nom in the animated feature category, much less a win, since the Academy believes that only Pixar can create Oscar-worthy animated films, I find The Secret Life of Pets to be a fantastic animated feature filled with action, adventure, comedy, and some touching moments as well. All around, it is enjoyable for the whole family and will cause many owners to wonder what their pet does while he or she is away at work. One of my favorite parts of the movie is the musical sequence at the sausage factory. So much symbolism to discuss. Haha. So, yes. This movie even includes a musical number worthy of–I am sure–many memes to come over the next few months."
1,More Trash from Illumination Entertainment,8 May 2017,"""The Secret Life of Pets"" is a movie from the film studio Illumination Entertainment, whose biggest claim to fame has been the creations of the abominable minions from ""Despicable Me."" When little yellow creatures that speak gibberish are your studio's biggest highlight, it's no wonder their film turned out like this.""The Secret Life of Pets"" is essentially all three ""Toy Story"" movies rolled into one movie with three separate plot lines. The first movie about two rival toys who earn to respect and work with each other is given to the main characters of Max (Louis C.K.) and Duke (Eric Stonestreet). The second movie, where it focuses on all of the secondary characters from the first movie on a mission to save Woody, is showcased with the character Gidget (Jenny Slate) rounding up pets to look for Max and Duke. The antagonist of the movie, a white bunny named Snowball (Kevin Hart) has the same character and motivation as Lots-o-Huggin bear from ""Toy Story 3.""With no original story elements, you'd think there would be an attempt to make the characters likable and engaging to watch, but no. Max and Duke start out as unlikable, and only become likable when they inexplicably begin working together. It makes sense that in one scene they would set aside their differences, but after that there is no reason for them to be working together. Then, they suddenly like each other without any reason to. Gidget is no better, as she dumbly trusts a hawk (Albert Brooks) who was clearly making threats to eat her, but the story must go on. Snowball sums up these idiotic and lazy character moments in one scene where, after trying to kill Max, says, ""We need to work together now,"" and then everything is suddenly put behind them.Character stupidity is a big propeller of the plot, but pure coincidence is too. Almost no story elements feel like they organically happened, and instead feel contrived or tossed in to make the screenwriter's job easier. Take this for example, New York City is a big place (especially for animals who mostly don't know the city except for what's right outside of their apartments), yet everyone makes their way onto one of New York's bridges for the climax of the movie without having any reason to know that Max and Snowball are there, and thus giving them reason to be there.To put it in simple terms, this movie is lazy with its characters, uninspired with its story, and unfunny with its comedy. The only thing I can really say in its defense is that the story could at least be followed."
10,Excellent movie for family,19 September 2016,"I was waiting for this movie since first trailer was launched. And when i had opportunity to watch it, i was more than happy. Great story line, It was funny silly and my favorite illumination movie it's worth a watch and it is definitely better than minions it is fun for the whole family. I could not stop laughing at this movie it so many great characters. Very fun and entertaining movie for the whole family, this movie took me off guard and laughed so much at the roles the characters had. It was such an adorable movie.A Jack Russell Terrier named Max lives with his owner Katie in a Manhattan apartment. While she is at work during the day, he hangs out with other pets in the building: tabby cat Chloe, pug dog Mel, dachshund dog Buddy, and budgerigar birb Sweetpea. One day, Katie adopts Duke, the big brown dog from the pound, leaving Max jealous because of her larger focus on Duke. One day, because of attitude max toward Duke, the duke draped Max to alley and abandon Max there; however, they are both attacked by a gang of alley cats led by Sphynx cat Ozone. The cats remove both dogs' collars and leave them to be caught by Animal Control. They are rescued by a rabbit named Snowball, the leader of ""The Flushed Pets""– a gang of sewer-dwelling animals who hate humans. After Max and Duke pretend to despise humans as much as they do, the Flushed Pets invite them to join. Before they can prove their loyalty to Snowball, The two dogs escape the sewers. Snowball vows to kill them and leads the Flushed Pets after them.A white dog who has a crush on Max, discovers that he is missing, and recruits red-tailed hawk, Gidget (the white dog) and Tiberius (the hawk) then enlist Mel (The fat dog), Buddy(a sarcastic dachshund dog), Chloe(a gray cat), guinea pig Norman(a guinea pig), Sweetpea(a small birb), and a paralyzed old base hound named Pops to begin searching Max. The group encounters Snowball, who vows to kill them as well, and Norman (a guinea pig) is captured as the rest of Gidget(the white dog )'s team flees. In Brooklyn, Max and Duke begin to get along with each other. Duke tells Max about his previous owner, Fred, an elderly man, live with him with happy life. One day, Duke got lost while chasing a butterfly and was picked up by Animal Control. Max convinces him to visit Fred's house in a nearby neighborhood, confident that Fred will still love him. When they arrive, though, they learn from a resident cat named Reginald that Fred has died. Resentful and angry, Duke accuses Max of attempting to get rid of him and barks at the new homeowners who call Animal Control. The handlers catch Max, but Duke interferes for him to escape and ends up being captured instead. While trying to rescue Duke as he follows the Animal Control van, Max is attacked by Snowball and his comrades. However, Snowball's gang are captured by animal control, and Snowball decides to help Max rescue them. They drive by a city bus and crash into the van of animal control on the Brooklyn Bridge, stopping traffic. The animal control van falls into the East River with Max and Duke inside. Max is unable to get the keys to Duke's cage, so Snowball jumps into the river to retrieve them, allowing Max and Duke to escape the sinking van. The entire group return to the apartment by taxi. Max expresses his appreciation toward Gidget. Snowball and the Flushed Pets then come up with a new plan to annihilate all humans, but Snowball is then adopted by a little girl named Molly. At first, Snowball resists, but gives in to her sweetness and lets himself be adopted by her. Max and Duke finally reunite with Katie, sparking a true friendship."
8,Animals Secret Lives,30 July 2016,"It is about the so called secret lives of the pets when their owners are not at home.Max is a terrier dog living quietly with Katie his owner. But his happy life and those of his own friends are interrupted by Newfoundland Mix Duke. Who is large on the outside but has a sweet heart on the inside.This does not sit well with Max as he and Duke both have a brotherly quarrel. But when Duke tricks Max into the city. As both really do not have big city sweet smart experience.They both are not without their leashes as stray animals take it from them while they must avoid the pet patrol. And a street smart bunny leader named Snowball who dislikes humans, over being abandoned, along with other stray animals under his wing.Duke and Max must put aside their differences and with the help of their friends like Gidget who has a crush on Max, lead the charge to saving both dogs. And get them home.It is a cute movie. And shows what the animals so called secret lives are like when their owners are out to go to work or to go to school, etc.Beginning there is a Minion pre-movie that lasts about five minutes but that is cute too."
10,This was a Cute Movie,21 July 2016,Hello Everybody Today I'm Reviewing the The Secret Life Of Pets which i Saw on Sunday & I thought it was cute Movie. The Movie is about Dog(Louis C.K.) named Max who lives with his owner Katie and Katie gets a Another Dog Named Duke(Eric Stonestreet) who Max thinks he gonna get replaced so he tries to get him into trouble & meet Snowball(Kevin Hart) he thinks Max & Duke hate humans. The Movie was really good I really enjoy it. My Favorite Dog in the Movie was Gidget who was Cute. Anyway I Really Enjoyed this Movie because I Love Cats and I Like Chole (Lake Bell). Anyway I Give the The Secret Life of Pets a 10 for being cute & Funny.
10,Secret life of pets,18 July 2016,"The Secret Life Of Pets was one of those animated movies that you just don't want to miss because it is that good of a movie. You and your family will love the non stop animation that your kids will love the whole time. This is such a cool movie for the whole family it was unbelievable. This movie will make your kids laugh the whole way through because if they like pets then they will absolutely love this movie it was stupendous fantastic spectacular just wonderful you need to see this once in a life time experience Parents this is perfect for the kids. Duke is played by the same actor who plays cam on Modern family and he is FLAT OUT Hilarious, Also KEVIN HART WAS FLAT OUT Hilarious. Evan Louis C.K. Was FLAT OUT Hilarious. I just think that this was the funniest movie of the year besides Popstar Never Stop Never Stopping."
8,"An absolutely fun film, that the whole family will enjoy.",12 July 2016,"The Secret Life of Pets tells the story of a pet dog named, Max(Louis C.K.). Max's owner Katie(Ellie Kemper) brings home a stray dog named, Duke(Eric Stonestreet). Duke's arrival, turns Max's normal life with Katie, upside down. Max & Duke dislike each other. Soon, Max & Duke put their differences aside, when they end up far away from home. Now, Max & Duke will have to work together, to find their way back home. The Secret Life of Pets is a movie, packed with adventure & hilarity. It is a great film. The animation is top-notch. The New York City skyline has been recreated, flawlessly. The 3D provides both depth & many eye-popping moments, throughout the movie. The makers of the film have perfectly represented the difference in behavior between pet dogs & cats, when it comes to the animals' opinion of their owners. The highlight of the film is the supremely talented voice cast, who breathe life into the lovable pets. Louis C.K. is spectacular as Max. Eric Stonestreet is outstanding as Duke. Kevin Hart is amazing as Snowball. Jenny Slate is awesome as Gidget. Ellie Kemper is impressive as Katie. Albert Brooks is excellent as Tiberius. Lake Bell is brilliant as Chloe. Dana Carvey is hilarious as Pops. Hannibal Buress & Bobby Moynihan are good as Buddy & Mel, respectively. The supporting cast is effective. The Secret Life of Pets is a must watch, for the entire family."
8,"Since its start, Universal has been America's Monster Movie Studio . . .",11 July 2016,". . . which makes THE SECRET LIFE OF PETS par for Universal's course. When most people think of monsters, Frankenstein, Dracula, Godzilla, and Hitler are among the first to come to mind. If you specify American monsters, Bigfoot, the Boogie Man, Candyman, and The Duke are on the tips of everyone's tongues. PETS cleverly provides animated documentation of Duke's decades-long rampage through American Life and Culture during the 1900s, as the usurper of U.S. dog Max's Home Sweet Home. (If you're not up on 1900s American History, a boy named Marion got depressed over his Ma running out on his dying Pa and renamed himself after the family mutt, as ""Duke (Mad Dog) Wayne."" Shortly thereafter, this struggling cheap-flick ""singing cowboy"" was recruited to the Dark Side by the American Fascist Party, where he literally fingered thousands of Real Life Working Stiffs for bankruptcy, political prisons, ""suicide,"" and premature death as the self-appointed U.S. Snitch-in-Chief.) In PETS, gluttonous Big Dawg Duke steals Max's food, bed, and mistress before turning Max over to dogcatchers. It would take an entire book to itemize all the tie-ins between PETS' plot and characters with America's All-Time Leading Monster, Duke ""Mad Dog"" Wayne."
9,Twizard Rating: 89,21 July 2016,"I'm not one to really gawk at the vocal cast of an animated film, but Illumination Entertainment (of Despicable Me fame) sure knows how to pick them.In their sixth motion picture, the studio gives us a peek at what our pets do when we're not home. It begins with Max (Louis C.K.), a small dog who loves his owner more than life itself. He stands in front of the door all day just waiting for her to come home. Then one day, she does, but brings in with her a very large dog named Duke (Eric Stonestreet).You may only get the jokes and the high-flying emotions if you have pets of your own. Luckily, most of America does in one way or another. Anyone who does knows how unbelievably ridiculous they can be sometimes. And this movie goes the route of exploiting that a bit, without actually trying to make sense of it--because, what fun would that be? Some may be bothered by the fact that it borrows from the premise of Toy Story--and a couple other Pixar gems. I'm not one of those. It's a smart move. And besides, there's much more to the story than just a simple two-misunderstood-individuals-journeying-home-together angle. There are multiple plots working at once.We don't just see Max and Duke trying to find their way back, but also a gang of Max's friends setting out to find him--led by a paralyzed blind dog and a spoiled rich dog who longs to profess her love for Max.There are some moments where it becomes very dark, but the issues come with how it handles those dark moments. It has a couple of chances--both of which it fails miserably.The energy never lets up, and that plays as more of a good thing than bad in The Secret Life of Pets. Your kids will love it and the laughter is pretty consistent from start to finish. It may not have the same emotional punch of Despicable Me, but it knows how to make us laugh, thoroughly showcasing the world that it wants us to see.Twizard Rating: 89"
8,"An improvement over Minions, but absolutely not perfect.",16 July 2016,"This film is from illumination entertainment, which recently created the first non Disney animated film to crack 1 Billion worldwide, Minions. For my thoughts on the studio, Despicable me 1, and 2 were great, Hop was OK, but forgettable, but The Lorax and especially Minions were bad. Then this film came along.Easily the weakest part is the writing. It rips off Toy Story using the same concept except with pets, which makes this movie very predictable, often in the first hour. It however, becomes a lot less predictable in the 3rd act, which gives it some suspense. This is also a problem with Independence day resurgence, but unlike that movie, the concept is well executed, which makes this movie entertaining. I had a good time watching it because of that. But overall, this writing is mediocre.The characters in this movie are one of my favorite parts. Max is, however the weaker one who is like Woody from Toy Story, who is a jerk to his companion at first, but then grows to be friends with him. The rest of the characters are all lovable and enjoyable to watch, suck as Duke, Gidget, Chloe, and more. But my favorite one is the bunny Snowball, who is the funniest, with Kevin Hart making a good performance as the bunny that looks cute but has a violent personality, making him the villain.New York City is one of my favorite cities in the world, and New York looks like nothing I've ever seen before. It perfectly shows all the attractions such as the One World Trade Center, Times square, Central Park, and Brooklin in way I've never seen in animation. Also, the design of the pets are accurate as they are both cute and well designed. The only part I don't like about the animation is the human design, which is always rather weak in Illumination movies. Along with this high quality animation, the humor hits a lot, with very smart gags, and not the very unfunny slapstick in Minions and it also takes a break from DreamWorks like Crass humor. There is an animated short that plays before this called ""Mower Minions"", which is OK and cute, its just that the humor isn't funny, just like the Minions film.The writing may be weak, but the film is enjoyable with memorable characters, and smart and funny gags. The animation is also breathtaking as heck. I recommend to kids and adults. It may not be as smart as Zootopia, or as unforgettable as Finding Dory, but it is a good addition to the summer."
8,The Secret Lives of Pets was quite a funny computer-animated feature film,13 July 2016,"In this Illumination (the makers of the Despicable Me series) computer-animated feature film, we see the animals talking after their owners leave for the day (just like the toys in the Toy Story series) and doing their own thing. The main character is a dog named Max who suddenly is being paired with a much bigger dog and he doesn't like it. I'll stop there and just say this was quite a funny and partly touching take on the ""animals on the loose in the city"" premise with many fine support from many of the other animals involved including a rabbit voiced by Kevin Hart. By the way, I was wonderfully surprised that among the other celebrities doing voices was one Albert Brooks who I previously also just heard reprising his Marlin fish character in Finding Dory. So on that note, I recommend The secret Lives of Pets."
8,Better than I thought it would be,10 July 2016,"Cute, funny, and not always predictable. I went to see this movie thinking it would just be funny. I expected it to be pointless, but the plot was pretty complex. The previews don't show you what it's really about. The story stayed exciting for the whole hour and a half. The characters were adorable and entertaining. The animation was pretty good, too. There are actually some scenes that make you feel like you're flying or falling even in 2-D. I wouldn't say this was *as good* as a Pixar movie, but it will definitely be on the list of nominees for best animated picture. I will add a warning: Do not bring children under the age of 5 unless they're pretty mature for their age and won't freak out. This is not mindless entertainment. There are crocodiles, monstrous snakes, and scary-looking killer cats, and there are scenes where it seems like a couple of the characters are going to die. A kid who looked to be about 2 screamed and cried at the more tense moments. This movie isn't graphic, but it will scare babies and very young kids. It's PG and not just G for a reason."
7,Cute and amusing in parts but ...,2 July 2016,"... it's not a classic. Has a nice family feel to it and kids will like it, but unlike some recent animations doesn't have much for adults. The gangsta rabbit is quite funny, and I wish that Claudia the fat cat had more lines as there was scope to develop that character a bit more. The plot is pretty thin but there again you don't really expect a lot more from this type of film. I quite liked it but was also a little disappointed - it was so hyped and unfortunately didn't really live up to it. I could watch Happy Feet and Shrek all day but I wouldn't want to sit through this again. But all in all it is what it is. It's aimed at children and they will enjoy it - my grandchildren aged 7 and 10 certainly did."
